Pathways	Compounds of pathway	Reactions of pathway	SMILES
chorismate biosynthesis	3-deoxy-D-arabino-heptulopyranuronate 7-phosphate // 3-deoxy-D-arabino-heptulosonate 7-phosphate // D-erythrose 4-phosphate // chorismate // phosphate // 5-enolpyruvoyl-shikimate 3-phosphate // phosphoenolpyruvate // ADP // shikimate 3-phosphate // ATP // NADPH // H+ // NADP+ // shikimate // 3-dehydroshikimate // H2O // 3-dehydroquinate	3-dehydroquinate  ->  3-dehydroshikimate + H2O // shikimate + NADP+  <-  3-dehydroshikimate + NADPH + H+ // shikimate + ATP  ->  shikimate 3-phosphate + ADP + H+ // shikimate 3-phosphate + phosphoenolpyruvate  ->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate // 5-enolpyruvoyl-shikimate 3-phosphate  ->  chorismate + phosphate // phosphoenolpyruvate + D-erythrose 4-phosphate + H2O  ->  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate // 3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate	C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@H](O)C[C@](O)(C(=O)[O-])O1) // C(=O)([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-] // C([C@@H]([C@@H](COP([O-])([O-])=O)O)O)=O // C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1) // [O-]P(=O)(O)[O-] // C=C(C(=O)[O-])O[C@@H]1(CC(/C(=O)[O-])=C\[C@@H](OP(=O)([O-])[O-])[C@@H](O)1) // C=C(OP(=O)([O-])[O-])C([O-])=O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(=O)([O-])C1(\C[C@@H](O)[C@H](O)[C@H](OP(=O)([O-])[O-])/C=1) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // [H+] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C1(/[C@@H](O)[C@@H](O)[C@@H](CC(/C(=O)[O-])=1)O) // C([O-])(=O)C1(\C[C@@H](O)[C@H](O)C(=O)/C=1) // O // C(=O)([O-])[C@]1(O)(CC(=O)[C@@H](O)[C@H](O)C1)
8-oxo-(d)GTP detoxification I	dGTP // GTP // hydroxyl radical // 8-oxo-dGMP // 8-oxo-dGTP // diphosphate // 8-oxo-GMP // H+ // 8-oxo-GTP // H2O	8-oxo-GTP + H2O  ->  8-oxo-GMP + diphosphate + H+ // 8-oxo-dGTP + H2O  ->  8-oxo-dGMP + diphosphate + H+ // GTP + 2 hydroxyl radical  ->  8-oxo-GTP + H2O // dGTP + 2 hydroxyl radical  ->  8-oxo-dGTP + H2O	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // O // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(NC(=O)1)=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(NC(=O)1)=2)))C[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(NC(=O)1)=2)))[C@H](O)[C@H](O)3) // [H+] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(NC(=O)1)=2)))[C@H](O)[C@H](O)3)
9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent)	9-cis, 11-trans-octadecadienoyl-CoA // hydrogen peroxide // 5-cis, 7-trans-tetradecadienoyl-CoA // dioxygen // 2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA // (3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA // 5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA // (3Z,5E)-dodec-3,5-dienoyl-CoA // H2O // (2E,5E)-dodeca-2,5-dienoyl-CoA // H+ // NADH // (3R)-hydroxy-5-trans-dodecenoyl-CoA // NAD+ // coenzyme A // (5E)-3-oxo-dodec-5-enoyl-CoA // acetyl-CoA // (2E)-dec-2-enoyl-CoA // (3E)-dec-3-enoyl-CoA	(3E)-dec-3-enoyl-CoA  <-->  (2E)-dec-2-enoyl-CoA // (3E)-dec-3-enoyl-CoA + acetyl-CoA  <-  (5E)-3-oxo-dodec-5-enoyl-CoA + coenzyme A // (3R)-hydroxy-5-trans-dodecenoyl-CoA + NAD+  ->  (5E)-3-oxo-dodec-5-enoyl-CoA + NADH + H+ // (3R)-hydroxy-5-trans-dodecenoyl-CoA  <-  (2E,5E)-dodeca-2,5-dienoyl-CoA + H2O // (3Z,5E)-dodec-3,5-dienoyl-CoA  ->  (2E,5E)-dodeca-2,5-dienoyl-CoA // (3Z,5E)-dodec-3,5-dienoyl-CoA + acetyl-CoA  <-  5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA + coenzyme A // (3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA + NAD+  ->  5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA + NADH + H+ // (3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA  <-  2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA + H2O // 5-cis, 7-trans-tetradecadienoyl-CoA + dioxygen  ->  2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA + hydrogen peroxide // 9-cis, 11-trans-octadecadienoyl-CoA + 2 coenzyme A + 2 NAD+ + 2 dioxygen + 2 H2O  ->  5-cis, 7-trans-tetradecadienoyl-CoA + 2 acetyl-CoA + 2 hydrogen peroxide + 2 NADH + 2 H+	CCCCCC/C=C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // OO // CCCCCC/C=C/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // O=O // CCCCCC/C=C/C=C\C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CCCCCC/C=C/C=C\C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CCCCCC/C=C/C=C\CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CCCCCC/C=C/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // O // CCCCCC/C=C/C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // CCCCCC/C=C/C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CCCCCC/C=C/CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O // CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CCCCCC/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
putrescine biosynthesis III	putrescine // CO2 // H+ // L-ornithine // urea // H2O // L-arginine	L-arginine + H2O  ->  urea + L-ornithine // L-ornithine + H+  ->  CO2 + putrescine	C([NH3+])CCC[NH3+] // C(=O)=O // [H+] // C([NH3+])CC[C@H]([NH3+])C(=O)[O-] // C(=O)(N)N // O // C(NC(N)=[NH2+])CC[C@H]([NH3+])C(=O)[O-]
myo-inositol biosynthesis	D-glucopyranose 6-phosphate // myo-inositol // phosphate // H2O // 1D-myo-inositol 3-monophosphate	1D-myo-inositol 3-monophosphate + H2O  ->  myo-inositol + phosphate // D-glucopyranose 6-phosphate  ->  1D-myo-inositol 3-monophosphate	C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // [C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O // [O-]P(=O)(O)[O-] // O // [C@H]1(O)([C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)1)
pyrimidine nucleobases salvage I	uracil // 5-phospho-alpha-D-ribose 1-diphosphate // diphosphate // UMP	UMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + uracil	C1(\NC(=O)NC(=O)\C=1) // C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O) // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)
superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-D-arabino-heptulopyranuronate 7-phosphate // ammonia // (2S)-2-amino-4-deoxy-chorismate // 3-deoxy-D-arabino-heptulosonate 7-phosphate // D-erythrose 4-phosphate // phosphate // 5-enolpyruvoyl-shikimate 3-phosphate // phosphoenolpyruvate // ADP // shikimate 3-phosphate // ATP // NADPH // NADP+ // shikimate // 3-dehydroshikimate // 3-dehydroquinate // 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate // 5-phospho-alpha-D-ribose 1-diphosphate // N-(5-phosphoribosyl)-anthranilate // diphosphate // pyruvate // anthranilate // H+ // L-glutamine // H2O // L-tryptophan // L-serine // D-glyceraldehyde 3-phosphate // indole // (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate // chorismate // L-glutamate // L-tyrosine // 2-oxoglutarate // NADH // CO2 // 3-(4-hydroxyphenyl)pyruvate // prephenate // NAD+	prephenate + NAD+  ->  3-(4-hydroxyphenyl)pyruvate + CO2 + NADH // L-tyrosine + 2-oxoglutarate  <-->  3-(4-hydroxyphenyl)pyruvate + L-glutamate // chorismate  ->  prephenate // (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate  ->  indole + D-glyceraldehyde 3-phosphate // L-serine + indole  ->  L-tryptophan + H2O // chorismate + L-glutamine  ->  anthranilate + L-glutamate + pyruvate + H+ // N-(5-phosphoribosyl)-anthranilate + diphosphate  <-  anthranilate + 5-phospho-alpha-D-ribose 1-diphosphate // N-(5-phosphoribosyl)-anthranilate  ->  1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate // 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H+  ->  (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O // 3-dehydroquinate  ->  3-dehydroshikimate + H2O // shikimate + NADP+  <-  3-dehydroshikimate + NADPH + H+ // shikimate + ATP  ->  shikimate 3-phosphate + ADP + H+ // shikimate 3-phosphate + phosphoenolpyruvate  ->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate // 5-enolpyruvoyl-shikimate 3-phosphate  ->  chorismate + phosphate // phosphoenolpyruvate + D-erythrose 4-phosphate + H2O  ->  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate // 3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate	C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@H](O)C[C@](O)(C(=O)[O-])O1) // N // C=C(O[C@H]1(\C=C/C=C([C@@H]1[NH3+])/C(=O)[O-]))C(=O)[O-] // C(=O)([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-] // C([C@@H]([C@@H](COP([O-])([O-])=O)O)O)=O // [O-]P(=O)(O)[O-] // C=C(C(=O)[O-])O[C@@H]1(CC(/C(=O)[O-])=C\[C@@H](OP(=O)([O-])[O-])[C@@H](O)1) // C=C(OP(=O)([O-])[O-])C([O-])=O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(=O)([O-])C1(\C[C@@H](O)[C@H](O)[C@H](OP(=O)([O-])[O-])/C=1) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C1(/[C@@H](O)[C@@H](O)[C@@H](CC(/C(=O)[O-])=1)O) // C([O-])(=O)C1(\C[C@@H](O)[C@H](O)C(=O)/C=1) // C(=O)([O-])[C@]1(O)(CC(=O)[C@@H](O)[C@H](O)C1) // C(OP([O-])(=O)[O-])[C@@H](O)[C@@H](O)C(=O)CNC1(/C=C\C=C/C(/C(=O)[O-])=1) // C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O) // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](NC1(/C=C\C=C/C(/C(=O)[O-])=1))[C@H](O)[C@H](O)2) // O=P(O)(OP([O-])([O-])=O)[O-] // CC(=O)C(=O)[O-] // C(C1(\C(\N)=C/C=C\C=1))(=O)[O-] // [H+] // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // O // C1(\NC2(/C=C\C=C/C(/C(\C[C@H]([NH3+])C(=O)[O-])=1)=2)) // C(O)[C@H]([NH3+])C(=O)[O-] // C(=O)[C@H](O)COP(=O)([O-])[O-] // C1(\C=C/C2(N\C=C/C(\C=1)=2)) // C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)) // C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-] // C(CC([O-])=O)C(=O)C([O-])=O // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(=O)=O // C1(\C(/CC(C([O-])=O)=O)=C/C=C(\C=1)/O) // C(=O)([O-])C(=O)C[C@]1(C(=O)[O-])(\C=C/[C@@H](O)\C=C/1) // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
formaldehyde oxidation II (glutathione-dependent)	H2O // glutathione // formaldehyde // H+ // NAD(P)H // S-formylglutathione // S-(hydroxymethyl)glutathione // NAD(P)+ // NADH // CO2 // formate // NAD+	formate + NAD+  <-->  CO2 + NADH // S-(hydroxymethyl)glutathione + NAD(P)+  ->  S-formylglutathione + NAD(P)H + H+ // S-(hydroxymethyl)glutathione  <-  formaldehyde + glutathione // S-formylglutathione + H2O  ->  formate + glutathione + H+	O // C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O // C=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O[R])[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)) // C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-] // C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O[R])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(=O)=O // C([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
pentose phosphate pathway (oxidative branch) I	H2O // H+ // 6-phospho D-glucono-1,5-lactone // D-glucopyranose 6-phosphate // NADPH // CO2 // D-ribulose 5-phosphate // D-gluconate 6-phosphate // NADP+	D-gluconate 6-phosphate + NADP+  ->  D-ribulose 5-phosphate + CO2 + NADPH // D-glucopyranose 6-phosphate + NADP+  ->  6-phospho D-glucono-1,5-lactone + NADPH + H+ // 6-phospho D-glucono-1,5-lactone + H2O  ->  D-gluconate 6-phosphate + H+	O // [H+] // C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)C(=O)O1) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // C(=O)=O // C([C@H]([C@H](C(CO)=O)O)O)OP([O-])([O-])=O // C([C@H]([C@H]([C@@H]([C@H](C([O-])=O)O)O)O)O)OP([O-])([O-])=O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5)
superpathway phosphatidate biosynthesis (yeast)	bisoleoyl phosphatidate // coenzyme A // oleoyl-CoA // NADPH // 1-oleoyl-2-lyso-glycerone phosphate // 1-oleoyl-sn-glycerol 3-phosphate // NADP+ // H+ // NADH // glycerone phosphate // NAD+ // sn-glycerol 3-phosphate	sn-glycerol 3-phosphate + NAD+  <-  glycerone phosphate + NADH + H+ // 1-oleoyl-sn-glycerol 3-phosphate + NADP+  <-  1-oleoyl-2-lyso-glycerone phosphate + NADPH + H+ // glycerone phosphate + oleoyl-CoA  ->  1-oleoyl-2-lyso-glycerone phosphate + coenzyme A // 1-oleoyl-sn-glycerol 3-phosphate + oleoyl-CoA  ->  bisoleoyl phosphatidate + coenzyme A // sn-glycerol 3-phosphate + oleoyl-CoA  ->  1-oleoyl-sn-glycerol 3-phosphate + coenzyme A	CCCCCCCC\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)[O-])=O // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])([O-])=O)=O // CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])([O-])=O)O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(C(=O)CO)OP([O-])([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(OP([O-])(=O)[O-])[C@H](O)CO
