Compound	InChI-Key	SMILES
glutathione disulfide	InChIKey=YPZRWBKMTBYPTK-BJDJZHNGSA-L	C(SSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
ammonium	InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-O	[NH4+]
3-hydroxy-4-methylbenzaldehyde	InChIKey=DHVJHJQBQKKPNB-UHFFFAOYSA-N	C(=O)[R]
an omega-saturated C55 dolichol phosphate group	InChIKey=KTGSDHZXAKCYHM-LSTWDCEHSA-L	CC(C)CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(CCOP(=O)([O-])[O-])C
3-oxoicosanoyl-CoA	InChIKey=FYBVHNZJDVUVLJ-IBYUJNRCSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
10-N-nonyl acridine orange	InChIKey=CHKMESCAQLVOQU-UHFFFAOYSA-N	CCCCCCCCC[N+]2(\C3(/C=C(\C=C/C(\C=C1(\C=C/C(/N(C)C)=C\C/1=2))=3)/N(C)C))
pyridoxal	InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N	CC1(/N=C\C(\CO)=C(C(/O)=1)\C=O)
N6-(1-deoxy-D-fructos-1-yl)-L-lysine	InChIKey=BFSYFTQDGRDJNV-AYHFEMFVSA-O	C([R])(=O)[O-]
(indol-3-yl)acetate	InChIKey=SEOVTRFCIGRIMH-UHFFFAOYSA-M	C([O-])(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
alpha-L-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-VAYJURFESA-N	C(O)[C@]1(O)([C@@H](O)[C@@H](O)CO1)
choline	InChIKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N	C(CO)[N+](C)(C)C
phytosphingosine	InChIKey=AERBNCYCJBRYDG-KSZLIROESA-O	CCCCCCCCCCCCCC[C@@H](O)[C@H]([C@H](CO)[NH3+])O
gamma-L-glutamyl-L-cysteine	InChIKey=RITKHVBHSGLULN-WHFBIAKZSA-M	C(S)[C@@H](C([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
L-proline	InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N	[C@@H]([NH3+])([R])C([O-])=O
orotate	InChIKey=PXQPEWDEAKTCGB-UHFFFAOYSA-M	C([R])(=O)[O-]
(3R)-3-hydroxycerotoyl-CoA	InChIKey=GBMJOTOUUWGTIA-CSLACTSSSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
gamma-L-glutamyl-(S)-2-carboxypropyl-L-cysteine	InChIKey=USEJNLPKVXGAOO-ALKRTJFJSA-L	C(S[R])[C@@H](C([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
(Z,Z)-biliverdin-IX alpha	InChIKey=QBUVFDKTZJNUPP-BBROENKCSA-L	C=CC1(\C(\NC(C(/C)=1)=O)=C\C4(\NC(/C=C3(C(/CCC(=O)[O-])=C(C)/C(\C=C2(C(/C)=C(C=C)/C(=O)N2))=N\3))=C(CCC(=O)[O-])/C(\C)=4))
N-(5-phosphoribosyl)-anthranilate	InChIKey=PMFMJXPRNJUYMB-GWOFURMSSA-K	C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](NC1(/C=C\C=C/C(/C(=O)[O-])=1))[C@H](O)[C@H](O)2)
oxalyl-CoA	InChIKey=QVXMZFTWJVBUHP-IBOSZNHHSA-I	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C([O-])=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
(S)-lactate	InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-M	C([R])(=O)[O-]
(L-methionyl)adenylate	InChIKey=RZQLXQQLNKBFRX-TWBCTODHSA-N	C([R])(=O)[O-]
adenosine 2',3'-cyclic monophosphate	InChIKey=KMYWVDDIPVNLME-KQYNXXCUSA-M	C([C@@H]3([C@@H]4([C@H]([C@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))O3)OP(O4)([O-])=O)))O
(2S,5S)-hexanediol	InChIKey=OHMBHFSEKCCCBW-WDSKDSINSA-N	C[C@H](O)CC[C@@H](O)C
alpha-L-glucopyranose	InChIKey=WQZGKKKJIJFFOK-MDMQIMBFSA-N	C(=O)[R]
(R)-beta-hydroxy-L-kynurenine	InChIKey=MEMLLRTVGBILJW-IONNQARKSA-N	C([R])(=O)[O-]
L-threo-sphinganine	InChIKey=OTKJDMGTUTTYMP-ROUUACIJSA-O	CCCCCCCCCCCCCCC[C@@H]([C@H](CO)[NH3+])O
acetaldehyde	InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N	CC=O
alpha-D-galactose 1-phosphate	InChIKey=HXXFSFRBOHSIMQ-FPRJBGLDSA-L	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H](O)1)
(S)-acetoin	InChIKey=ROWKJAVDOGWPAT-VKHMYHEASA-N	C[C@H](O)C(=O)C
IDP	InChIKey=JPXZQMKKFWMMGK-KQYNXXCUSA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
xylitol	InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N	C(O)[C@H](O)[C@@H](O)[C@H](O)CO
(6R)-L-erythro-6,7-dihydrobiopterin	InChIKey=ZHQJVZLJDXWFFX-RPDRRWSUSA-N	C[C@H](O)[C@H](O)[C@@H]1(/N=C2(C(/NC1)=N\C(/N)=N/C(=O)2))
oxythiamine	InChIKey=SRDGSXVLAVRBLU-UHFFFAOYSA-O	CC2(\[N+](/CC1(\C(\O)=N/C(\C)=N\C=1))=C/SC(/CCO)=2)
CI 976	InChIKey=WAFNZAURAWBNDZ-UHFFFAOYSA-N	CCCCCCCCCCC(C(\O)=N\C1(/C(/OC)=C\C(\OC)=C/C(/OC)=1))(C)C
2-chloro-trans-dienelactone	InChIKey=ADSGHWJRPOXXTD-NSCUHMNNSA-M	C1(/C(/OC(=O)C(/Cl)=1)=C\C(=O)[O-])
2-hydroxy-2-methylpropanenitrile	InChIKey=MWFMGBPGAXYFAR-UHFFFAOYSA-N	CC(O)(C)C#N
2-trans,6-cis-tridecadienoyl-CoA	InChIKey=OOSDLBAXVXKFIB-GTUBXKNVSA-J	CCCCCC\C=C/CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
ethylene glycol	InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N	C(CO)O
phenylarsine oxide	InChIKey=BQVCCPGCDUSGOE-UHFFFAOYSA-N	C1(\C=C/C(/[As]=O)=C\C=1)
nicotinamide	InChIKey=DFPAKSUCGFBDDF-UHFFFAOYSA-N	C1(\C=C/C(/C(=O)N)=C\N=1)
